DeviceTag: Xsens DOT5D,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 17:06:50.309,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5254588,-0.1655,4.5438,-60.2313,-0.0909,0.1213,0.0590,0
5254754,-0.1670,4.5474,-60.2263,-0.1174,0.1271,0.0465,0
5254921,-0.1682,4.5506,-60.2207,-0.0849,0.1146,0.0472,0
5255088,-0.1681,4.5544,-60.2173,-0.0983,0.1248,0.0477,0
5255254,-0.1706,4.5568,-60.2192,-0.0858,0.1000,0.0629,0
5255421,-0.1720,4.5591,-60.2152,-0.0941,0.0979,0.0487,0
5255588,-0.1732,4.5635,-60.2167,-0.1033,0.1075,0.0408,0
5255754,-0.1736,4.5685,-60.2100,-0.1009,0.1300,0.0439,0
5255921,-0.1733,4.5722,-60.2059,-0.0937,0.1215,0.0521,0
5256088,-0.1731,4.5755,-60.1983,-0.0903,0.0998,0.0564,0
5256254,-0.1733,4.5793,-60.1917,-0.0842,0.1057,0.0590,0
5256421,-0.1736,4.5827,-60.1876,-0.0932,0.1198,0.0422,0
5256588,-0.1749,4.5860,-60.1832,-0.0889,0.1123,0.0580,0
5256754,-0.1749,4.5889,-60.1803,-0.0959,0.1147,0.0621,0
5256921,-0.1767,4.5940,-60.1814,-0.0843,0.1013,0.0498,0
5257088,-0.2939,5.4333,-60.1794,-0.0070,0.0032,0.0484,0
5257254,-0.2931,5.4333,-60.1758,-0.0013,0.0143,0.0439,0
5257421,-0.2925,5.4315,-60.1733,0.0139,0.0013,0.0454,0
5257588,-0.2938,5.4306,-60.1689,0.0111,-0.0128,0.0556,0
5257754,-0.2950,5.4313,-60.1659,0.0010,-0.0119,0.0538,0
5257921,-0.2946,5.4311,-60.1633,-0.0060,-0.0056,0.0511,0
5258088,-0.2954,5.4319,-60.1603,-0.0223,0.0125,0.0437,0
