DeviceTag: Xsens DOT6E,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 30,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-12 13:10:39.562,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
36909733,0.4468,-0.0148,-0.0171,-0.8943,-0.0040,-0.0035,0.0807,0
36910066,0.4468,-0.0148,-0.0171,-0.8943,-0.0068,-0.0077,0.0865,0
36910400,0.4469,-0.0148,-0.0171,-0.8943,-0.0016,-0.0057,0.0812,0
36910733,0.4469,-0.0148,-0.0171,-0.8943,-0.0048,-0.0138,0.0824,0
36911066,0.4469,-0.0148,-0.0171,-0.8943,-0.0073,0.0064,0.0863,0
36911400,0.4469,-0.0148,-0.0171,-0.8943,-0.0023,-0.0172,0.0811,0
36911733,0.4469,-0.0148,-0.0171,-0.8943,-0.0056,-0.0037,0.0878,0
36912066,0.4470,-0.0148,-0.0171,-0.8943,-0.0115,-0.0071,0.0869,0
36912400,0.4470,-0.0148,-0.0171,-0.8943,0.0002,-0.0065,0.0866,0
36912733,0.4470,-0.0148,-0.0171,-0.8942,-0.0010,-0.0068,0.0774,0
36913066,0.4470,-0.0148,-0.0171,-0.8942,-0.0105,-0.0071,0.0758,0
36913400,0.4467,-0.0148,-0.0171,-0.8944,-0.0112,0.0081,0.0876,0
36913733,0.4465,-0.0148,-0.0171,-0.8945,-0.0035,-0.0107,0.0764,0
36914066,0.4466,-0.0148,-0.0171,-0.8945,0.0001,-0.0097,0.0853,0
36914400,0.4465,-0.0148,-0.0171,-0.8945,-0.0095,-0.0026,0.0848,0
36914733,0.4466,-0.0148,-0.0171,-0.8945,-0.0230,-0.0022,0.0823,0
36915067,0.4466,-0.0148,-0.0171,-0.8945,0.0051,-0.0015,0.0947,0
36915400,0.4466,-0.0148,-0.0171,-0.8945,0.0093,-0.0098,0.0788,0
36915733,0.4465,-0.0148,-0.0171,-0.8945,-0.0195,0.0048,0.0799,0
36916067,0.4464,-0.0148,-0.0171,-0.8946,-0.0142,0.0036,0.0887,0
36916400,0.4464,-0.0148,-0.0171,-0.8946,-0.0051,-0.0103,0.0803,0
36916733,0.4463,-0.0148,-0.0171,-0.8946,0.0031,0.0107,0.0843,0
36917067,0.4463,-0.0148,-0.0171,-0.8946,-0.0078,0.0021,0.0810,0
36917400,0.4463,-0.0148,-0.0171,-0.8946,-0.0080,-0.0007,0.1016,0
36917733,0.4463,-0.0148,-0.0171,-0.8946,0.0138,-0.0025,0.0828,0
36918067,0.4462,-0.0148,-0.0171,-0.8946,-0.0135,0.0084,0.0845,0
36918400,0.4462,-0.0148,-0.0171,-0.8946,-0.0029,-0.0094,0.0719,0
36918733,0.4462,-0.0148,-0.0171,-0.8947,-0.0039,0.0007,0.0756,0
36919067,0.4461,-0.0148,-0.0171,-0.8947,-0.0021,-0.0100,0.0896,0
36919400,0.4461,-0.0148,-0.0171,-0.8947,-0.0132,-0.0102,0.0795,0
36919733,0.4462,-0.0148,-0.0171,-0.8947,0.0086,-0.0130,0.0744,0
36920067,0.4461,-0.0148,-0.0171,-0.8947,0.0052,-0.0035,0.0751,0
36920400,0.4461,-0.0148,-0.0171,-0.8947,-0.0091,-0.0004,0.0870,0
36920733,0.4461,-0.0148,-0.0171,-0.8947,0.0041,-0.0021,0.0878,0
36921067,0.4461,-0.0148,-0.0171,-0.8947,-0.0044,0.0047,0.0946,0
36921400,0.4460,-0.0148,-0.0171,-0.8947,-0.0137,-0.0017,0.0866,0
36921733,0.4460,-0.0148,-0.0171,-0.8947,-0.0070,-0.0013,0.0802,0
36922067,0.4460,-0.0148,-0.0171,-0.8947,-0.0039,0.0017,0.0746,0
36922400,0.4460,-0.0148,-0.0171,-0.8947,-0.0024,-0.0027,0.0923,0
36922733,0.4460,-0.0148,-0.0171,-0.8948,0.0056,0.0128,0.0801,0
36923067,0.4460,-0.0148,-0.0171,-0.8948,-0.0035,0.0098,0.0894,0
36923400,0.4459,-0.0148,-0.0171,-0.8948,0.0002,-0.0036,0.0847,0
36923733,0.4459,-0.0148,-0.0171,-0.8948,0.0118,-0.0030,0.0827,0
36924067,0.4459,-0.0148,-0.0171,-0.8948,-0.0033,0.0130,0.0824,0
36924400,0.4459,-0.0148,-0.0171,-0.8948,-0.0121,0.0001,0.0656,0
36924733,0.4459,-0.0148,-0.0171,-0.8948,-0.0016,-0.0104,0.0842,0
36925067,0.4458,-0.0148,-0.0171,-0.8948,-0.0041,-0.0089,0.0750,0
36925400,0.4458,-0.0148,-0.0171,-0.8948,-0.0064,-0.0047,0.0901,0
36925733,0.4458,-0.0148,-0.0171,-0.8948,-0.0175,-0.0024,0.0886,0
36926067,0.4458,-0.0148,-0.0171,-0.8948,0.0126,-0.0044,0.0721,0
36926400,0.4458,-0.0148,-0.0171,-0.8948,0.0122,-0.0064,0.0800,0
36926733,0.4458,-0.0148,-0.0171,-0.8949,0.0042,-0.0068,0.0817,0
36927067,0.4458,-0.0148,-0.0171,-0.8949,-0.0009,0.0099,0.0889,0
36927400,0.4458,-0.0148,-0.0171,-0.8949,0.0024,0.0034,0.0883,0
36927733,0.4457,-0.0148,-0.0171,-0.8949,-0.0150,0.0052,0.0888,0
36928067,0.4457,-0.0148,-0.0171,-0.8949,-0.0016,0.0105,0.0854,0
36928400,0.4457,-0.0148,-0.0171,-0.8949,-0.0006,-0.0108,0.0782,0
36928733,0.4456,-0.0148,-0.0171,-0.8949,-0.0053,-0.0091,0.0832,0
36929067,0.4456,-0.0148,-0.0171,-0.8949,-0.0060,-0.0035,0.0854,0
36929400,0.4456,-0.0148,-0.0171,-0.8949,0.0117,0.0002,0.0910,0
36929733,0.4456,-0.0148,-0.0171,-0.8949,0.0055,-0.0076,0.0785,0
36930067,0.4456,-0.0148,-0.0171,-0.8949,-0.0087,0.0013,0.0791,0
36930400,0.4456,-0.0148,-0.0171,-0.8950,-0.0057,-0.0028,0.0811,0
36930733,0.4456,-0.0148,-0.0171,-0.8950,-0.0087,-0.0096,0.0867,0
36931067,0.4456,-0.0148,-0.0171,-0.8950,-0.0051,-0.0021,0.0873,0
36931400,0.4455,-0.0148,-0.0171,-0.8950,-0.0031,-0.0068,0.0780,0
36931734,0.4455,-0.0148,-0.0171,-0.8950,-0.0025,0.0034,0.0846,0
36932067,0.4455,-0.0148,-0.0171,-0.8950,0.0003,-0.0071,0.0829,0
36932400,0.4455,-0.0148,-0.0171,-0.8950,0.0004,0.0044,0.0875,0
