DeviceTag: Xsens DOT5D,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:40:51.156,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1624247,0.1597,0.0140,-0.0095,0.9870,-0.8155,-1.7597,161.6265,0.1277,-0.0231,0.0813,0
1624414,0.1599,0.0141,-0.0095,0.9870,-0.8133,-1.7673,161.6091,0.1307,-0.0314,0.0665,0
1624581,0.1600,0.0142,-0.0095,0.9870,-0.8128,-1.7754,161.5942,0.1496,-0.0416,0.0718,0
1624747,0.1602,0.0142,-0.0095,0.9869,-0.8106,-1.7833,161.5769,0.1501,-0.0072,0.0817,0
1624914,0.1603,0.0143,-0.0095,0.9869,-0.8108,-1.7907,161.5602,0.1409,-0.0141,0.0788,0
1625081,0.1604,0.0144,-0.0095,0.9869,-0.8089,-1.7981,161.5446,0.1256,-0.0160,0.0694,0
1625247,0.1606,0.0144,-0.0095,0.9869,-0.8074,-1.8063,161.5281,0.1463,-0.0248,0.0770,0
1625414,0.1608,0.0145,-0.0095,0.9868,-0.8054,-1.8132,161.5073,0.1607,-0.0354,0.0639,0
1625581,0.1609,0.0146,-0.0095,0.9868,-0.8036,-1.8210,161.4921,0.1530,-0.0309,0.0786,0
1625747,0.1611,0.0146,-0.0095,0.9868,-0.8026,-1.8294,161.4732,0.1337,-0.0111,0.0611,0
1625914,0.1612,0.0147,-0.0095,0.9868,-0.8010,-1.8365,161.4595,0.1076,-0.0011,0.0725,0
1626081,0.1613,0.0148,-0.0095,0.9868,-0.7989,-1.8434,161.4472,0.1372,-0.0089,0.0599,0
1626247,0.1614,0.0148,-0.0095,0.9867,-0.7961,-1.8508,161.4331,0.1616,-0.0168,0.0758,0
1626414,0.1615,0.0149,-0.0095,0.9867,-0.7947,-1.8583,161.4163,0.1537,-0.0255,0.0746,0
1626581,0.1617,0.0149,-0.0094,0.9867,-0.7917,-1.8651,161.4034,0.1460,-0.0206,0.0566,0
1626747,0.1618,0.0150,-0.0094,0.9867,-0.7896,-1.8716,161.3872,0.1425,-0.0114,0.0777,0
1626914,0.1619,0.0151,-0.0094,0.9866,-0.7877,-1.8773,161.3708,0.1369,0.0094,0.0679,0
1627081,0.1620,0.0151,-0.0094,0.9866,-0.7859,-1.8844,161.3590,0.1592,-0.0203,0.0645,0
1627247,0.1621,0.0152,-0.0094,0.9866,-0.7836,-1.8907,161.3484,0.1696,-0.0371,0.0634,0
1627414,0.1623,0.0152,-0.0094,0.9866,-0.7837,-1.8979,161.3348,0.1490,-0.0204,0.0509,0
1627581,0.1624,0.0153,-0.0094,0.9866,-0.7823,-1.9042,161.3204,0.1604,-0.0179,0.0690,0
1627747,0.1625,0.0153,-0.0094,0.9865,-0.7812,-1.9110,161.3060,0.1629,-0.0277,0.0709,0
1627914,0.1627,0.0154,-0.0094,0.9865,-0.7786,-1.9158,161.2884,0.1600,-0.0331,0.0695,0
1628081,0.1628,0.0154,-0.0094,0.9865,-0.7773,-1.9221,161.2733,0.1774,-0.0431,0.0655,0
1628247,0.1629,0.0155,-0.0094,0.9865,-0.7765,-1.9281,161.2553,0.1852,-0.0554,0.0643,0
1628414,0.1631,0.0156,-0.0094,0.9864,-0.7754,-1.9343,161.2373,0.1633,-0.0321,0.0657,0
1628581,0.1632,0.0156,-0.0094,0.9864,-0.7731,-1.9394,161.2206,0.1599,0.0010,0.0681,0
1628747,0.1634,0.0156,-0.0094,0.9864,-0.7718,-1.9451,161.2033,0.1542,0.0157,0.0777,0
1628914,0.1635,0.0157,-0.0094,0.9864,-0.7715,-1.9512,161.1856,0.1673,-0.0011,0.0740,0
1629081,0.1637,0.0157,-0.0094,0.9863,-0.7717,-1.9553,161.1710,0.1662,-0.0392,0.0508,0
1629247,0.1638,0.0158,-0.0094,0.9863,-0.7707,-1.9599,161.1567,0.1757,-0.0583,0.0658,0
1629414,0.1639,0.0158,-0.0094,0.9863,-0.7700,-1.9656,161.1403,0.1713,-0.0480,0.0693,0
1629581,0.1641,0.0159,-0.0094,0.9863,-0.7688,-1.9705,161.1244,0.1820,-0.0103,0.0676,0
1629747,0.1642,0.0159,-0.0094,0.9863,-0.7679,-1.9769,161.1080,0.1797,-0.0041,0.0779,0
