DeviceTag: Movella DOT1,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-09 11:40:51.258,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1632747,0.6333,-0.0002,-0.0167,0.7738,-1.5008,-1.1911,101.4189,0.1591,-0.3163,-0.1823,0
1632914,0.6333,-0.0002,-0.0168,0.7737,-1.5010,-1.2030,101.4148,0.1435,-0.3586,-0.1524,0
1633081,0.6333,-0.0001,-0.0168,0.7737,-1.4954,-1.2114,101.4146,0.1542,-0.3691,-0.1543,0
1633247,0.6333,-0.0000,-0.0169,0.7737,-1.4955,-1.2223,101.4126,0.1749,-0.3125,-0.1386,0
1633414,0.6333,0.0001,-0.0169,0.7737,-1.4941,-1.2313,101.4119,0.1462,-0.3189,-0.1539,0
1633581,0.6333,0.0001,-0.0169,0.7737,-1.4929,-1.2403,101.4078,0.1353,-0.3366,-0.1600,0
1633747,0.6333,0.0002,-0.0170,0.7737,-1.4929,-1.2503,101.4080,0.1552,-0.3363,-0.1459,0
1633914,0.6334,0.0002,-0.0170,0.7737,-1.4932,-1.2589,101.4071,0.1714,-0.3303,-0.1364,0
1634081,0.6334,0.0003,-0.0171,0.7737,-1.4918,-1.2655,101.4071,0.1694,-0.3373,-0.1448,0
1634247,0.6334,0.0004,-0.0171,0.7737,-1.4895,-1.2739,101.4059,0.1394,-0.3547,-0.1467,0
1634414,0.6334,0.0004,-0.0171,0.7737,-1.4876,-1.2822,101.4050,0.1504,-0.3342,-0.1459,0
1634581,0.6334,0.0005,-0.0172,0.7737,-1.4869,-1.2894,101.4062,0.1654,-0.3293,-0.1299,0
1634747,0.6334,0.0005,-0.0172,0.7737,-1.4865,-1.2957,101.4066,0.1472,-0.3087,-0.1739,0
1634914,0.6334,0.0006,-0.0172,0.7736,-1.4838,-1.3012,101.4028,0.1700,-0.3788,-0.1205,0
1635081,0.6334,0.0006,-0.0172,0.7736,-1.4830,-1.3075,101.4010,0.1676,-0.3275,-0.1395,0
1635247,0.6334,0.0007,-0.0173,0.7736,-1.4816,-1.3138,101.3981,0.1644,-0.3600,-0.1548,0
1635414,0.6334,0.0007,-0.0173,0.7736,-1.4818,-1.3225,101.3987,0.1899,-0.3024,-0.1819,0
1635581,0.6334,0.0008,-0.0173,0.7736,-1.4801,-1.3288,101.3972,0.1493,-0.3254,-0.1372,0
1635747,0.6334,0.0008,-0.0174,0.7736,-1.4791,-1.3358,101.3948,0.1469,-0.3211,-0.1890,0
1635914,0.6335,0.0009,-0.0174,0.7736,-1.4768,-1.3405,101.3920,0.1414,-0.3491,-0.1364,0
1636081,0.6335,0.0009,-0.0174,0.7736,-1.4760,-1.3461,101.3919,0.1552,-0.3279,-0.1820,0
1636247,0.6335,0.0010,-0.0174,0.7736,-1.4746,-1.3509,101.3921,0.1549,-0.3297,-0.1662,0
1636414,0.6335,0.0010,-0.0174,0.7736,-1.4733,-1.3568,101.3912,0.1481,-0.3490,-0.1019,0
1636581,0.6335,0.0011,-0.0175,0.7736,-1.4735,-1.3622,101.3873,0.1608,-0.3351,-0.1647,0
1636747,0.6335,0.0011,-0.0175,0.7736,-1.4720,-1.3663,101.3904,0.1540,-0.3338,-0.1709,0
1636914,0.6335,0.0011,-0.0175,0.7736,-1.4690,-1.3680,101.3916,0.1535,-0.3451,-0.1253,0
1637081,0.6335,0.0011,-0.0175,0.7736,-1.4696,-1.3733,101.3909,0.1500,-0.3537,-0.1136,0
1637247,0.6335,0.0012,-0.0175,0.7736,-1.4676,-1.3762,101.3915,0.1713,-0.3447,-0.1639,0
1637414,0.6335,0.0012,-0.0175,0.7736,-1.4676,-1.3802,101.3906,0.1571,-0.3546,-0.1614,0
1637581,0.6335,0.0012,-0.0175,0.7736,-1.4656,-1.3827,101.3913,0.1452,-0.3636,-0.1625,0
1637748,0.6335,0.0013,-0.0176,0.7736,-1.4663,-1.3858,101.3918,0.1436,-0.3270,-0.1610,0
1637914,0.6335,0.0013,-0.0176,0.7736,-1.4651,-1.3881,101.3923,0.1629,-0.3228,-0.1223,0
1638081,0.6335,0.0013,-0.0176,0.7736,-1.4658,-1.3919,101.3906,0.1863,-0.3291,-0.1582,0
1638248,0.6334,0.0013,-0.0176,0.7736,-1.4647,-1.3943,101.3938,0.1769,-0.3525,-0.1538,0
1638414,0.6334,0.0013,-0.0176,0.7736,-1.4655,-1.3992,101.3930,0.1784,-0.3699,-0.1551,0
1638581,0.6335,0.0014,-0.0176,0.7736,-1.4660,-1.4024,101.3923,0.1674,-0.3523,-0.1637,0
1638748,0.6335,0.0014,-0.0177,0.7736,-1.4669,-1.4048,101.3900,0.1458,-0.3529,-0.1484,0
1638914,0.6335,0.0014,-0.0177,0.7736,-1.4682,-1.4068,101.3903,0.1580,-0.3303,-0.1641,0
1639081,0.6335,0.0014,-0.0177,0.7736,-1.4693,-1.4099,101.3893,0.1666,-0.3293,-0.1383,0
1639248,0.6335,0.0014,-0.0177,0.7736,-1.4697,-1.4106,101.3909,0.1653,-0.3472,-0.1580,0
1639414,0.6335,0.0014,-0.0177,0.7736,-1.4703,-1.4132,101.3926,0.1705,-0.3645,-0.1548,0
1639581,0.6335,0.0014,-0.0178,0.7736,-1.4717,-1.4139,101.3925,0.1619,-0.3698,-0.1350,0
1639748,0.6335,0.0014,-0.0178,0.7736,-1.4718,-1.4154,101.3913,0.1723,-0.3631,-0.1742,0
1639914,0.6335,0.0014,-0.0178,0.7736,-1.4719,-1.4167,101.3922,0.1666,-0.3627,-0.1081,0
1640081,0.6335,0.0014,-0.0178,0.7736,-1.4716,-1.4176,101.3928,0.1522,-0.3334,-0.1747,0
1640248,0.6335,0.0014,-0.0178,0.7736,-1.4708,-1.4165,101.3917,0.1539,-0.3360,-0.1629,0
1640414,0.6335,0.0014,-0.0178,0.7736,-1.4703,-1.4164,101.3927,0.1580,-0.3524,-0.1484,0
1640581,0.6334,0.0014,-0.0177,0.7736,-1.4681,-1.4156,101.3936,0.1494,-0.3609,-0.1705,0
1640748,0.6335,0.0014,-0.0177,0.7736,-1.4676,-1.4143,101.3918,0.1596,-0.3517,-0.1467,0
1640914,0.6335,0.0014,-0.0177,0.7736,-1.4665,-1.4136,101.3925,0.1472,-0.3543,-0.1594,0
1641081,0.6335,0.0014,-0.0177,0.7736,-1.4657,-1.4134,101.3930,0.1610,-0.3508,-0.1407,0
1641248,0.6335,0.0014,-0.0177,0.7736,-1.4652,-1.4134,101.3927,0.1435,-0.3560,-0.1689,0
1641414,0.6334,0.0014,-0.0177,0.7736,-1.4650,-1.4136,101.3961,0.1562,-0.3342,-0.1332,0
1641581,0.6334,0.0014,-0.0177,0.7736,-1.4650,-1.4122,101.3947,0.1560,-0.3472,-0.1405,0
1641748,0.6334,0.0014,-0.0177,0.7736,-1.4652,-1.4098,101.3944,0.1639,-0.3599,-0.1367,0
1641914,0.6335,0.0014,-0.0177,0.7736,-1.4645,-1.4084,101.3919,0.1696,-0.3714,-0.1355,0
1642081,0.6335,0.0014,-0.0177,0.7736,-1.4653,-1.4057,101.3896,0.1734,-0.3388,-0.1671,0
1642248,0.6335,0.0014,-0.0176,0.7736,-1.4631,-1.4032,101.3884,0.1429,-0.3545,-0.1735,0
1642414,0.6335,0.0014,-0.0176,0.7736,-1.4627,-1.3984,101.3882,0.1304,-0.3566,-0.1137,0
1642581,0.6335,0.0013,-0.0176,0.7736,-1.4597,-1.3940,101.3903,0.1489,-0.3705,-0.1714,0
1642748,0.6333,0.0013,-0.0176,0.7737,-1.4623,-1.3907,101.4189,0.0486,-0.4593,-0.1680,0
1642914,0.6330,0.0013,-0.0176,0.7740,-1.4728,-1.3902,101.4620,0.2446,-0.3316,-0.1476,0
1643081,0.6329,0.0013,-0.0176,0.7741,-1.4702,-1.3875,101.4785,0.2439,-0.2512,-0.1286,0
1643248,0.6329,0.0012,-0.0175,0.7741,-1.4676,-1.3791,101.4791,0.1423,-0.3178,-0.1920,0
1643414,0.6329,0.0012,-0.0175,0.7741,-1.4701,-1.3769,101.4788,0.1351,-0.3486,-0.1443,0
1643581,0.6329,0.0012,-0.0175,0.7741,-1.4685,-1.3721,101.4778,0.1239,-0.3492,-0.1694,0
1643748,0.6329,0.0011,-0.0175,0.7741,-1.4710,-1.3681,101.4781,0.1509,-0.3528,-0.1518,0
1643914,0.6328,0.0011,-0.0175,0.7741,-1.4706,-1.3617,101.4837,0.1185,-0.3988,-0.1424,0
1644081,0.6328,0.0010,-0.0175,0.7741,-1.4742,-1.3586,101.4933,0.1662,-0.3545,-0.1467,0
1644248,0.6327,0.0010,-0.0174,0.7742,-1.4754,-1.3520,101.5059,0.1538,-0.3093,-0.1570,0
1644414,0.6327,0.0010,-0.0174,0.7742,-1.4789,-1.3489,101.5097,0.2124,-0.2509,-0.1354,0
1644581,0.6327,0.0009,-0.0174,0.7742,-1.4768,-1.3429,101.5061,0.1730,-0.3108,-0.1619,0
1644748,0.6327,0.0009,-0.0174,0.7742,-1.4787,-1.3361,101.5053,0.1464,-0.3540,-0.1852,0
1644914,0.6327,0.0008,-0.0173,0.7742,-1.4785,-1.3310,101.5063,0.1344,-0.3449,-0.1092,0
1645081,0.6327,0.0008,-0.0173,0.7742,-1.4797,-1.3247,101.5097,0.1262,-0.3370,-0.1740,0
1645248,0.6327,0.0007,-0.0173,0.7742,-1.4828,-1.3212,101.5041,0.1539,-0.3234,-0.1199,0
1645414,0.6327,0.0007,-0.0173,0.7742,-1.4827,-1.3148,101.5028,0.1659,-0.3405,-0.1688,0
1645581,0.6327,0.0006,-0.0172,0.7742,-1.4840,-1.3081,101.5016,0.1628,-0.3352,-0.1590,0
1645748,0.6327,0.0006,-0.0172,0.7742,-1.4831,-1.3041,101.5009,0.1714,-0.3455,-0.1427,0
1645914,0.6327,0.0006,-0.0172,0.7742,-1.4835,-1.3010,101.4988,0.1607,-0.3489,-0.1494,0
1646081,0.6327,0.0006,-0.0172,0.7742,-1.4851,-1.2989,101.4974,0.1467,-0.3376,-0.1376,0
1646248,0.6328,0.0005,-0.0172,0.7742,-1.4867,-1.2958,101.4939,0.1523,-0.3332,-0.1506,0
1646414,0.6328,0.0005,-0.0172,0.7741,-1.4876,-1.2918,101.4917,0.1545,-0.3389,-0.1670,0
1646581,0.6328,0.0005,-0.0172,0.7741,-1.4887,-1.2860,101.4903,0.1522,-0.3425,-0.1448,0
1646748,0.6328,0.0004,-0.0171,0.7741,-1.4893,-1.2806,101.4869,0.1703,-0.3388,-0.1428,0
1646914,0.6328,0.0004,-0.0171,0.7741,-1.4900,-1.2751,101.4826,0.1411,-0.3345,-0.1325,0
1647081,0.6329,0.0003,-0.0171,0.7741,-1.4916,-1.2684,101.4788,0.1533,-0.3294,-0.1479,0
1647248,0.6329,0.0003,-0.0171,0.7741,-1.4925,-1.2624,101.4766,0.1545,-0.3196,-0.1621,0
1647414,0.6329,0.0002,-0.0170,0.7741,-1.4937,-1.2553,101.4773,0.1408,-0.3159,-0.1425,0
1647581,0.6329,0.0002,-0.0170,0.7741,-1.4948,-1.2492,101.4760,0.1600,-0.3313,-0.1516,0
1647748,0.6329,0.0001,-0.0170,0.7741,-1.4960,-1.2428,101.4751,0.1368,-0.3242,-0.1602,0
1647914,0.6329,0.0001,-0.0169,0.7740,-1.4968,-1.2372,101.4738,0.1583,-0.3391,-0.1518,0
1648081,0.6329,0.0000,-0.0169,0.7740,-1.4982,-1.2299,101.4713,0.1402,-0.3207,-0.1624,0
1648248,0.6329,-0.0000,-0.0169,0.7740,-1.4982,-1.2226,101.4668,0.1374,-0.3264,-0.1477,0
1648414,0.6330,-0.0001,-0.0168,0.7740,-1.4983,-1.2159,101.4635,0.1470,-0.3044,-0.1567,0
1648581,0.6330,-0.0001,-0.0168,0.7740,-1.5004,-1.2096,101.4593,0.1352,-0.3197,-0.1426,0
1648748,0.6330,-0.0002,-0.0168,0.7740,-1.5025,-1.2037,101.4580,0.1529,-0.3265,-0.1457,0
1648914,0.6330,-0.0002,-0.0168,0.7740,-1.5050,-1.1976,101.4559,0.1552,-0.3102,-0.1543,0
1649081,0.6330,-0.0003,-0.0168,0.7739,-1.5067,-1.1899,101.4552,0.1535,-0.3096,-0.1235,0
1649248,0.6330,-0.0004,-0.0167,0.7740,-1.5086,-1.1802,101.4553,0.1357,-0.3136,-0.1476,0
1649414,0.6330,-0.0004,-0.0167,0.7739,-1.5094,-1.1723,101.4544,0.1392,-0.3237,-0.1526,0
1649581,0.6330,-0.0005,-0.0166,0.7740,-1.5107,-1.1638,101.4566,0.1462,-0.3158,-0.1719,0
1649748,0.6330,-0.0005,-0.0166,0.7740,-1.5132,-1.1568,101.4553,0.1535,-0.3225,-0.1580,0
1649914,0.6331,-0.0006,-0.0166,0.7739,-1.5148,-1.1503,101.4492,0.1516,-0.3108,-0.1523,0
1650081,0.6331,-0.0006,-0.0166,0.7739,-1.5171,-1.1448,101.4496,0.1461,-0.3223,-0.1596,0
1650248,0.6331,-0.0007,-0.0166,0.7739,-1.5200,-1.1399,101.4484,0.1634,-0.2870,-0.1575,0
1650414,0.6331,-0.0007,-0.0165,0.7739,-1.5212,-1.1342,101.4465,0.1492,-0.2771,-0.1625,0
1650581,0.6331,-0.0008,-0.0165,0.7739,-1.5222,-1.1282,101.4461,0.1359,-0.3023,-0.1476,0
1650748,0.6331,-0.0008,-0.0165,0.7739,-1.5226,-1.1224,101.4443,0.1199,-0.3375,-0.1357,0
1650914,0.6331,-0.0009,-0.0165,0.7739,-1.5243,-1.1172,101.4398,0.1466,-0.3335,-0.1481,0
1651081,0.6331,-0.0009,-0.0165,0.7739,-1.5278,-1.1103,101.4390,0.1597,-0.3126,-0.1329,0
1651248,0.6332,-0.0010,-0.0164,0.7738,-1.5302,-1.1036,101.4352,0.1571,-0.2969,-0.1472,0
1651414,0.6332,-0.0010,-0.0164,0.7739,-1.5314,-1.0974,101.4354,0.1614,-0.2989,-0.1681,0
